	sender	me
379	you missed a video chat with karkinos .	karkinos missed your video chat .
382	the video chat ended . phgame e	nai
386	nai nai pou eisai re	katw se mena
391	exw anoixta pedia twra edw einai ligo dyskolo mporei na erthw omws	kalws
396	tipota ston giwrgo hrtha ligo kai spiti preeeeeee katalaba	ahahhahah
402	 	 
404	you missed a call from karkinos . you missed a call from karkinos . you missed a call from karkinos . you missed a call from karkinos . karkinos called you . karkinos called you .	skhnh prepei ma broume
412	karkinos called you .	dn exw
415	 . . . . you missed a call from karkinos . karkinos called you .	se xekinaw
421	 klaiw you missed a video chat with karkinos . karkinos called you . you missed a call from karkinos . karkinos called you .	eiste eksw ?
432	you missed a call from karkinos . you missed a call from karkinos .	e
444	you missed a call from karkinos .	you called karkinos .
448	 	tha peis ton thano na me kanei ena ariko ?
450	 	ahah r mlk
453	gia pote 	twra
455	pou tha pas	thelei h ioanna na pioume
458	exeis ariko akribws 	twra oxi
461	e pote	giati
463	giati den exw lefta tha ta dwsw apo th mana mout	opa
465	kai prepei na ta gyrisw mexri to brady	esy tha to pareis 
469	wraia bges bgale kai ela na mou ta afhseis kai otan to parw sto dinw meta to apogeuma brady den tha bretheis 	 elega na fygw
476	nai re ntaxei	wraia
478	twra tha milhsw pare thl na katebw	tha mou kaneis kai mia xarh akoma
486	ntaxei egine	dn hrthe
488	meta otan brethoume tha sto etoimasw ta xartakia xexasame you missed a call from karkinos . egw komple eimai to phra ti tha kaneis exeis na etoimasteis pou eisai 	erxomai
496	na katebw 	se 
498	 	eimai katw p
500	 ti egine xthes komple 	nai r
508	gia tipota den eisai filos	afou dn afhsa olo to systhma
510	tha me dwseis thn bermouda pali thn maurh na bgw shmera	exei kairo na plythei exei kati shmadia apo xwmata k kati alla
516	gamhse to den peirazei sto viva wallet etoima 	gg
520	the video chat ended .	karkinos missed your call .
525	malaka pali kala kalytera xwrio	the video chat ended .
531	asto pwpwwww portokali beach bar phgainete	prasinila
537	xaxaxaxa ola prasina poutanes	the video chat ended .
540	sobara ante geia you missed a call from karkinos . karkinos called you . xekinhsa me podia paw ston giwrgo	egw perimenw ton tsoulh
546	 	pou eiste
553	egw stamathsa spiti na faw twra erxomai den hrthan akoma 	oxi
560	pwww re mpleximo	phge o marios ap to spiti na ton xypnhsei
563	trelaaaaa giati den paei na ton parei xerw gw	e o nikolai prepei na ginei anthrwpos
567	kala einai ki auto akoma den xypnhses re you missed a call from karkinos .	karkinos missed your call .
571	you missed a call from karkinos .	ela de mpar
573	you missed a call from karkinos .	karkinos missed your call .
575	you missed a call from karkinos . you missed a call from karkinos . you missed a call from karkinos . karkinos called you .	you called karkinos .
580	karkinos called you . karkinos called you . karkinos called you .	you called karkinos .
588	ta balame ta xontra se esena kareklakia kai tetoia 	kioski anemisthra trapezi
594	kai ena egw prepei na se dwsei	tha ton steilw
598	 tou sabba dyo karekles pou exei gia rwta mia giati koureuomai ompreles oti einai apo xontra mpainoun se sena kai se maik auto	nai
605	you missed a call from karkinos . you missed a call from karkinos .	you called karkinos .
609	re ama xwrane komple alla skepsou akoma enas sakos kai pragmata kai oti synepagetai auto egw den nomizw na xwrane	tha desoume ton katalano
614	 	tha doume to prwi
619	komple para tetarto to amaxi tha einai fortwmeno exoume parei kafe hdh	you called karkinos .
624	ti wra ante kala re	karkinos missed your call .
631	pwpwww	tha rtheis katw ?
633	nai ti wra 	 
638	komple akous eimai me karakoba foul eisai sto amaxi h den eipes allon 	akribws eimaste
646	se mena steile na katebw	katebeite
649	otan einai se na fortisw ligo to kinhto	paw apo monti
654	karkinos called you .	mlk
658	karkinos called you . des ligo to meil giati den afhne na to steilw alliws	ta gelaw
663	 	gr 
665	euxaristw gia thn exyphrethsh	o sabbas me th sebrola
667	mh re mh re karkinos called you .	mphkan
670	ti fash	ton esteila an einai akoma ekei
673	 	tha fygeis 
675	oxi re twra hrtha	broxoula fouteraki 
680	nai karkinos called you . ela mpanio ekana	afou leei milas
684	psemata se lew tote sygnwmh pou eiste	spitia
691	you missed a call from karkinos . karkinos called you .	eiste pouthena eksw ?
696	hrthe kai o tsoul tha ertheis na pareis apo edw toulaxiston	twra tha faw
704	 krantsi me tsentar stis patates	to krantsi ti einai mpergker
707	nai crunchy chicken burger	komple
710	den tha katsoume poly den se symbouleuw na ertheis	teleia
715	katse megale akoma mpanio den ekana pio meta	steile otan eisai ready
718	 	exeis oxhma ?
720	oxi	ton hpiame
723	bres allon exw douleia den tha bgw akoma	pwww
726	sygnwmh e	dekth
731	 	ti tha kanete
734	tha arghseis 	oxi polu
741	karkinos called you .	asto to brhka
743	 otk fortwses 	oxi alla me exoun kati mounia stenous pou psofan
0	kalhmeraaaa ! opote ertheis pros to kentro se boleuei na brethoume na mou dwseis ta pragmata 	to eida to mynhma otan xypnhsa kai kahka meta to xexasa
3	den peirazei . wraia nai	saraa pou eisai 
5	spitii erxesai kentro 	nai tha sou steilw otan ftanw
9	egine naiiii	wraia
13	apo pou 	ap to spiti sou
15	satwbriandou exw metakimisei	nai
22	nai katebainw	nai
0	eu xomai se se na kai thn oikogeneia sou h kainou rgia xronia pou h rthe na ei nai plou sia se eutyxi a kai ftwxh se kake s stigme s . o neira aisiodoxi a kai polla xamo gela ! kathe xro nia gia mena ei nai e na bibli o to opoi o perie xei mia seli da gia ka the hme ra . . .kalh xro nia ! 	euxaristw poly xenofwn na sai kala
0	xronia s polla antwnakh polyxronos k oti epithymeis n exeis . . . ti ftiaxns 	shmainei exoume kairo na eidwthoume
2	aaaa to xerw ti kaneis exeis exetastikh eida thn mama s sto souper mia mera thn prwtoxroni basika leei hsoun edwww pote efyges gia patras 	stis 
12	nai ontws einai ekei oi dikoi s filoi 	merikoi nai
15	mmm wraia pore arxiseis exetaseis	 
19	egw arxizw febrouari k teleiwnw diabazw tr xalara	dn pisteuw na exeis agxwthei
24	spiti oxi gt xaxa esy agxwthhkes 	oxi
29	 	dn xrwstaw polla kai lew na paw poly xalara auth thn exetastikh 
31	k egw to idio alla tha thela na ta perasw na mhn xrwstaw gt h allh exetastikh mporei na khn einai etsi esas sas eipan tpt an tha kanete to epomeno examhno apo ekei h diadyktiaka	dn xerei kaneis
38	s euxaristw poly antwnh mou . . . ti kaneis	diakopes
41	koimasai	twra oxi
44	aaaaa xereis ti thelw xixixiiz	ti
48	xaxaxxaax oxi re siga mhn erthw ntrepomai o pappous sou pou einai aderfos me thn giagia tou filippou thn phge me eipe fylla para polla mono esy an kopseis xaxaxxaxa tosa polla exete auta pou einai spiti sou 	nai
59	alhtheia trwgontai 	dn exw idea
63	kala xaxaxaxxa rwta ton k pes mou xaxaxax kala den ta biazomai alla tr pou exeis tha me kopseis xaxaxxa	dn me to shkwnei kanenas
69	kala asto genika sto eipaaaa dineis mathhmata	nai to apogeuma
72	exeis dyo ypologisteeees	enas
76	afou den blepw nai dyo othones pws to ekanes auto	apla syndeeis dyo kalwdia pisw ston ypologisth
80	tha to kaneis to embolio ti se eipe h euaggelia pou xerei	tha to kanw kapoia stigmh
84	k egw authn thn stigmh psaxnw xaxaxa pote tha einai h katallhlh 	kapoia stigmh tha zhtane embolio gia na pas exwteriko h gia na katseis mesa se magazia
90	nai ti	 
93	ti alla kai tr na to kaneis ti ennoeis	kai twra na to kaneis na xemperdeueis
96	nai etsi lew k egw o sakhs i mpampalhs to ekanan oloi autoi gt leei pane se klinikes kai tous ypoxrewsan prin kana mhna ekei sthn boulgaria logika etsi tha egine k edw m autous pou spoudazoun iatrikh h basw h theodwrou pou einai etos logika to ekane gt pane sta nosokomeio	nai etsi einai
106	esy t kaneis diabaseis pote dineis tr eee	aurio
113	egw teleiwsa xtes etoitelous epitelous	mia xara
118	den ekleisa tpt xizixii esy 	nai
124	aaaa ioooo prepei na einai teleia ekei me ti tha pate	dn exoume kleisei akoma
130	aaa teleia mia xara poly wraio nhsi prepei na eiani sthn mhlo me karabi tlk 	nai
135	wraia autokinhto tlk brhkes	exw dei kapoia alla dn exw kleisei
138	egw koitousa na sygkrinw se ola ta nhsia stis kyklwses k einai pantou o idies oi times	astupalaia einai wraia
144	nai exw dei se mia ekpomph san thn io den einai styl	oxi
147	alla poly pio hsyxa nomizw	h ios einai h mykonos twn ftwxwn
150	nai re san thn mykono einai teleia tha einai k egw thelw io na paw mia fora gymnazesai kiolas ou eisai pinw kafe me thn mama s xaxxa eeee pou 	epanomh
158	a kalh thalassa 	metria
161	e logiko you missed a call from natasa . eeeee akous	dn exw shma
169	pou eisai steile to kinhto s gt den exw ton arithmo s you missed a call from natasa . you missed a call from natasa . iiiiii pou eisai	phlio
178	se xenodoxeio 	hrthame ena trihmero
181	rbnb ? thelw k egw	nai
184	pws legetai thelw k egw na paw phlio exei thalassa ekei pou eiste 	exei nai
194	aaaa pou to brhkes re poly wraia thea exeiiiii	to spiti top
199	pote gyrnas	aurio to brady
201	bolta pou exei ekei 	zagora
205	exei kosmo tr 	logo dromwn
207	e wraia	exei nai
209	den peirazei poly theloun bouno tr kalh thalassa exei ekei blepeis kati diaforetiko	shmera eimastan se mia paralia htan kalh
217	ekei pou einai gnwsto ston ai giannh phgate einai ekei konta 	nai
220	aaa wraia	esy ti tha kaneis tha pas mhlo 
223	persi phga mhlo re naxo leme na pame tha doume otan mphkes sto ploio edeixes to eisithrio paso den zhthsan dld 	oxi
0	entaxei pws paei eisai kala 	mama
7	nai kai tha sou apanthsw aurio	okay
10	shmera to brady h aurio to prwi tha sou steilw thn ektypwsh me ta stoixeia ths epixeirhshs gia na proxwrhseis me thn paraggelia . apo oti katalaba kai opws epibebaiwse o logisths den tha plhrwseis to fpa	wraia euxaristw
13	nai to exw alla de brhka eukairia na to skanarw . to thes twra peirazei na to steilw to prwi thelw na paw gia ypno twra .	steilto to prwi nai
18	entaxei xaramata tha to steilw . meta tis teleiwnw me ta mathhmata sxoleiou kai exw sxolh . alla kalytera na milhsoume gia to timologio prin kaneis thn paraggelia .	exeis keno meta tis 
20	meta tis . nai thn paraskeuh . exei ktel . ti faghta theleis 	mprizoles thgania snitsel
26	thes kai ta prasa ! ! ! ! me esteiles twra mpiftekia gia pshsimo 	nai eipe enas sthn omadikh oti efage zesto xeimwniatiko xoirino me prasa
30	spanakopita 	kai mpiftekia nai
36	oxi dikh mou tha kanw	wraia
40	ok ti egine me to internet 	phra thlefwno
46	ok	euxaristww
49	shmera einai ta genethlia ths xristinas	o kala pou to eipes
53	nai kai na steileis fwtografia	ok
55	koimasai pou tha katebeis diodia h ktel apo poio dromo paei to lewforeio iwnia h palio dromo 	palio
59	sto gkaraz ebala to mitsubishi . bale to golf dipla	eginee
61	you missed a call from thomy .	molis eida
67	teleia ! ! ti office exeis 	 
69	mia xara euge paidi mou ! !	mama pare me ena thl
73	you missed a call from thomy .	 
76	you missed a call from thomy . you missed a call from thomy .	ela pare
82	thomy called you .	you called thomy .
84	pws htan ta snitsel petyxe to pshsimo sto fourno 	nai mia xara
87	poios to mageirepse egine kalo auto eprepe na ginei me patates sto fourno . kane kamia patatosalata gia enallaktikh . patates kremmydia lemoni ladaki .	o aggelos
94	thomy called you .	phra pou shmainei oti mporw na mhn paw kan se proforikh
98	thomy called you . you missed a call from thomy .	you called thomy .
101	ti ginetai antwnh mou pws ta pas eisai kala 	ela mama
109	nai na pas	pare m ena thl otan mporeis
111	thomy called you . you missed a call from thomy . antwnh pws ta pas eisai kala to mai de pshnesai na to steileis th therapeia thn akoloutheis opws prepei 	nai
123	giati oxi twra 	e variemai twra
125	aurio ti wra peripou 	to meshmeri
127	kalhnyxta paw gia ypno	kalhnyxta
130	thomy called you . thomy called you .	rwthsa thn matina
134	ok	mou eipe h myrto oti xthes htan me th matina
140	me phre thlefwno molis kala einai	thomy missed your call .
147	you missed a call from thomy . tha ertheis aurio 	pempth
151	pou eisai thomy called you . you missed a call from thomy .	mama thelw xarh
157	thomy called you . thomy called you . thomy called you . sa na sou hrthan polles oi patates to zestanes prin to fas 	oxi
163	htan kalo 	nai
166	to ypoloipo psygeio kai aurio zestama . .tha einai poly kautero	tha to faw to brady mallon
169	antwnh mou ti ginetai me to fourno xereis pote tha erthei 	phra thlefwno
174	entaxei	ntaxei dn tha plhrwsw telika
176	you missed a call from thomy . phres thl kai diamartyrhthhkes 	tous eipa oti mou zhthsan lefta gia na mou to feroun spiti
182	na giati prepei na anazhtoume to dikio mas ! ! !	entelh tha to feroun aurio
184	ti wra 	to prwi
186	kaloriziko ! ! tha mageirepseis shmera 	dn xepagwsa xexasa
190	prin anapseis to fourno na diabaseis tis odhgies . kai kalytera na erthei hlektrologos prwta . nomizw an anapseis mono mia estia de tha yparxei problhma	egine
196	steile mou to thlefwno	 
199	steile kai thn paraggelia na dw leptomereies thomy called you .	me phre thl auth k me eipe oti tha me paroun apo thn etairia pou promhtheuontai shmera h aurio
202	se phran thlefwno you missed a call from thomy . alla kai na se phran afou koimasai . . to akouses afou den apantas ti kai an se phran thlefwno ti na pw . . .	you called thomy .
208	thn phra eipe tha tous xanaparei kai tha epimeinei na erthoun shmera	you called thomy .
215	you missed a call from thomy . you missed a call from thomy .	mono auto eixan
221	thomy called you . ti egine me th metaforikh 	to phran
224	me th syskeuasia ola xala 	nomizw nai
228	to mpotilaki to ebales alla ti lew prwta prepei na adeiasei teleiws to palio	gt dn mpainei alliws ?
230	gia na mh myrisei to palio . ean meinei kati mesa isws myrisei otan to bgaleis . prepei na rwthsw thn euaggelia an to allaxe pote	se phran thl 
232	oxi tha parw egw	you called thomy .
234	thomy called you . thomy called you .	gt egrapses mh swsth leitourgia suskeuhs ? 
238	etsi mou eipe	okau
244	na krathseis kai thn polythrona kai to mpratso	you called thomy .
248	dokimase na ta pshseis sto mpotilaki se siganh fwtia me ladi . tha ginoun . tha ta prosexeis na mhn kaoun . tha ta gyrizeis syxna bgale ta apopse gia na ta kaneis aurio	ok
251	afou xepagwsoun tha ta pathseis me to xeri gia na platynoun kai na leptynoun ti egine me ta mpiftekia ta edwses sto gkazaki 	dn ta ekana akoma
257	wraia ti wra tha ftaseis kai pou diodia h ktel 	 xekinaei
264	kala einai na adeiaseis na fas thn ktpsx kai na bgaleis to psygeio apo thn priza . kai na katebaseis to geniko	nai nai tha ta kanw auta
272	sigoura poulane . giati den to psaxneis sto diadiktyo 	sto internet exei
277	gia patra psaxe magazi sthn patra . rwta se souper market apo auta pou bgazoun apo syskeuasies	bsk
281	swsta pws tha pas mexri ekei podhlato 	nai
284	phres kleidaria 	oxi
287	to poulane 	nai
293	thomy called you . you missed a call from thomy . you missed a call from thomy . thomy called you .	mama
301	to autokinhto prepei na paei synergeio gia thn allagh ladiwn . to thymasai to rantebou einai gia tis .p .m . na to pas kata tis . twra to prwi oxi to brady 	tha koimhthw edw
305	teleia ! ! ante balto kai sthn priza na doulepsei na hsyxasw !	aurio exw douleia twra
308	entaxei !	eixe k allon me pc
312	 	thomy missed your video chat .
315	antwnh aurio stis . tha se parei thl o pappous gia na tou pas to autokinhto kai to faghto pou tha einai etoimo ston pagko ths kouzinas . frontise na apanthseis . kalh synexeia	nai
319	rtmp a .rtmp .youtube .com live antwnh na afhseis to fortisth tou dikou sou laptop sto trapezi ths kouzinas	egine
323	stis . to prwi xreiazomai to autokinhto ean se enoxlhsoun kounoupia bale ton anemisthra	egine
326	ti wra peripou tha gyriseis e exw pethanei apo thn agwnia giati den apantas 	oxi dn einai wraio
329	ok wraio to mplouzaki	na to parw 
332	parto h h bermouda 	kalyterh
339	aurio to prwi tha prepei na shkwtheis stis na pas gia rapid test kai na epistrepsete me thn euaggelia	nai milhsame
341	kalhmera ftasate kalo deixnei you missed a call from thomy . na se rwthsw . . .twra pou hrthe o hlektrologos sthn patra shkwnei kai ta klimatistika na douleuoun mazi 	dokimase to
348	grapse mou to wi fi password ths patras	 
350	you missed a call from thomy . se poia skhnh tha koimhtheis 	exei k strwma
354	you missed a call from thomy . you missed a call from thomy . omprela karekles den xexname ! ! you missed a call from thomy . you missed a call from thomy .	ftasame
360	pws paei eisai kala elpizw aurio to brady na eisai edw giati deutera prwi xreiazomaste to autokinhto	e nai
364	you missed a call from thomy . you missed a call from thomy . sou einai adynaton na apanthseis sto thlefwno h estw na me pareis eisai kala you missed a call from thomy . me exeis taraxei asxhma . ti symbainei epathes kati se parakalw steile ena mhnyma pes kati . . . .	ela
376	ti wra tha xekinhseis gia thn epistrofh 	bradaki
378	thomy called you . thomy called you .	pwww
381	thomy called you . thomy called you .	a
391	 empiptei se authn thn kathgoria syntaxiouxwn 	dn kserw
0	the video chat ended .	egw proteinw to english international universal
6	phra thl sto customer service k m eipan oti to pio synhthes einai to international na s pw lew na parw to mesaio me i k mnhmh ti les den me boleuei to sait ths apl gia na ta psaxw	poso bgainei me authn th diamorfwsh 
11	sta me thn foithtikh alliws 	me tb ?
18	you missed a call from christina .	you called christina .
21	ela den prolava na paraggeilw eixa meta kai to taksidi gia na erthw vrykselles k den exa prolavei pff prepei na ta dw k ayta christina called you . the video chat ended . tha eisai available se mi wra 	nai
29	you missed a call from christina . you missed a call from christina .	you called christina .
34	n t anoixw distasa mia mera n anoixw to plastiko tou koutiou 	giati 
38	giati elega ti na ta kanw mhpws na ta poulhsw alla meta eipa oxi tha ta krathsw	krata ta r . . . . bouleuoun foul ama thes na milas h na akous mousikh sto spiti kai na kaneis douleies
44	afou k sy eipes oti s fanhke xrhsimo you missed a video chat with christina . the video chat ended . you missed a call from christina .	you called christina .
49	christina called you . https www .youtube .com watch ?v sybe ah qr https www .youtube .com watch ?v atmvpai gpa	the video chat ended .
53	https www .amazon .fr mosiso pochette notebook polyester repoussant dp b zz yy h ref sr sspa ?dchild keywords housse macbook air qid sr spons psc spla zw jcnlwdgvkuxvhbglmawvypuexvvrhmk fskqwwfnzjmvuy j chrlzelkpuewmzkzodkzt byufg meu u u jmvuy j chrlzefkswq qtazmzk nzcxv jxuzhztzbzufq jndpzgdlde hbwu c bfyxrmjmfjdglvbj jbglja jlzglyzwn jmrvtm tg nq xpy s dhj zq https www .amazon .fr mosiso compatible polyester verticale accessoires dp b w ref sr ?dchild keywords housse macbook air qid sr zw jcnlwdgvkuxvhbglmawvypuexske qtjmnkuyukuwjmvuy j chrlzelkpuewmdexntixmunvwlftmuhjsenqmczlbmnyexb zwrbzelkpuewmdc mda wk bwkyzmug teiwjndpzgdlde hbwu c bfzgv ywlsjmfjdglvbj jbglja jlzglyzwn jmrvtm tg nq xpy s dhj zq exeis kamia idea gia stylath thkh ?	wraies einai autes
63	aaaa . . .malista . . .kati pio akribo paizei kamia loui mhpws christina called you .	eisai sigourh oti dn mpainei 
67	nai re aaa ki allh pou dyskolevetai ok teleia thanks tha to dw antwnhhh tha trelathw molis esteile meil h mak kainourio macbook air dld egw twra an katalaba kala exw parei palio ta neura mouyy	karantina xalara
76	pote th anebeis panw 	e konta sta xristougenna lew . . . kathomai edw gt panw dn paizei na diabasw pote
80	ti einai auto kale 	eftiaxa pc
83	pyrgos ?	nai mpravo
85	ela peftw gia ypno	brhka kalytera
88	an thes na pareis kati apopse parto k tha sou balw ta lefta exeis ypoloipo 	einai pio akriva
95	xaxaxa kala kala parta k blepoume	 
99	de rienn giati kale phres auta telika 	einai kalytera
102	ok totes ekana th metafora merry christmas !	 
107	wowwwww melomakarona me sokolata ?	nai agorasmena
111	hahaha agorasmena gi aytooo k esy na eisai kalo paidi k na thn pairneis kana thl	thn pairnw
115	kalimera aderfoulhhhh loipon thelw na parw kinhto tha me voithiseis ?	the video chat ended .
119	https www .youtube .com watch ?v ra laa nobu https latercase .com products iphone pro tempered glass	to phres ?
122	oxi re . . .den exei anoixei to apple store k den thelw na to paraggeilw k auto ap to internet	aa eipame thes to experience
126	giati kale den to xw dei kan apo konta	e ena thlefwno einai siga . . . alla ntaxei ama mporeis na perimeneis
130	aaa mprabo kalorizikaa pou les rwthsa gia na to paraggeilw to xryso k m lene tha ftasei dekembriou opote oute na to paraggeilw twra den mporw	mporei na to vreis ellada
135	https www .apple .com be fr shop product hp f zm a housse incase icon pouces avec woolenex pour macbook air et macbook pro https www .apple .com be fr shop product hnzd zm a housse flat sleeve incase pouces pour macbook air et macbook pro ?afid p csnteopkg dc mtid nc pcrid pgrid cid btb slid product hnzd zm a be fr tis exei sthn ellada ?	oxi
140	gia des ligo aythn thn roz aksizei na dwsw eyrw ? eyrw gia thiki ?	an skefteis oti edwses gia thhkh kinhtou axizei nai
149	nai alla me eyrw tha sinai kald poiothta ? h allh h gkri pou sou esteila me ta einai kyrile ?	https youtu .be hfq d tfw
152	https www .thekase .com be fr housse en cuir veritable saffiano pour macbook pro macbook air et macbook pro retina pouces vert pastel .html ?gclid cjwkcaia kz brajeiwahjny dugjnqgla lybajkevm gb xbrp kbiz ngayh hghmsoh eoi hocursqavd bwe christina called you . elaa eisai edw ?	nai
156	erwtisi exw dyo sklirous diskous skeftomai gia logous asfaleias na min afhsw kanenan sto dwmatio aytoi einai evaisthitoi sta taksidia ? typou dn prepei na tous metakineis poly klp h den paizei rolo ? ekswterikous sklhrous ennow 	aaaa
165	prepei na tous metaferw se kouti h an tous exw psyloxyma einai ok ?	tha einai mia xara
168	aman re antwnh giati den hrthes ligo nwritera m espase ta neura h mama den mporw na katebw kentro	ahahah
173	e kala den eimai kai gia na parw to autokinhto	deutera erxomai
175	ante tha me phgaineis kentro	ti kaneis 
177	the video chat ended . ela antwnhh h mama koimatai 	dn einai spiti
182	christina called you . peirazei pou exei auto to keno h thhkh 	oxi dn peirazei
185	re na s pw poso einai to tou swsta 	nai
189	mhn koroideueis gyrises patra 	twra paw
192	ante kalo dromo re douleuei to vpn twra kathe fora pou anoigw to pc syndeomai ! mersi mpokou you missed a call from christina . ela re exeis na mou proteineis mantilakia gia to mac na parw online ?	a dn exw idea
201	ela re mporeis na valeis office kai se allous ? kati tetoio m eipe h mama	nai
207	ook peirazei ? thelw na pw ayto tha einai gia to personal pc etsi k alliws	oxi dn peirazei
211	antoni na s pw ksereis na kaneis graphs sto excel ?	mpaaa dn exw idea
214	you missed a call from christina . antwnh xelooou	ela xristinaa
218	re hthela na se parw k pio nwris alla k twra me boleuei eimai monh m sto spiti k dn thelw na koimhthw k lew aaa o antwnhs den prepei na koimatai nwris	gt dn thes na koimhtheis
223	giati foboumai metakomisame re eimai sth lil sto kainourio spiti	nai to xerw
230	lene oti einai safe alla egw fobamai giati eimai monh k giati dn thn xerw kala thn geitonia telospantwb diabazeis 	oxi
236	paizeis paixnidia 	bale na deis to queens gambit
239	exw apokleietai na eisai	oxi seira evlepa kai twra tha paw gia upno gt to prwi exw dermatologo
241	aaa kala foulh entaxei pese na koimhthes	exeis netflix h na sou dwsw ?
244	re sy eixame mexri shmera k dn xerw giati esteilan mnm ston antouan oti dexthkame to aithma sas gia diakoph sto metaxy o antouan den ekane aithma gia diakoph dn xerw an panw sto xrono stamataei enigouei apo shmera den exw	mpes sto zwgia
250	xaxaxa dn einai kan diko s zwgia ok den tha to xrhsimopoihsw poly mexri na xanabaloume euxaristw foulhh	r na sou pw
258	mporeis kai me karta dn xerw an exoun oloi	kai prin fygeis les ti ofeilw
262	kalo tha htan na exeis kai metrhta nai h tha sto pei apo monos tou h an exei grammatea se bgazei exw sth grammatea k s leei auth poso einai k plhrwneis ekei you missed a call from christina . you missed a call from christina .	christina missed your call .
269	you missed a call from christina .	ela
272	christina called you . ela aderfoulh ti kaneis ?	ela xristinaa
276	sto xwrio eisai e ? kale ithela na se rwthsw an akoma xrhsimopoies to vpn mou gia na tsekarw oti dn yparxei provlima giati twra edwsa s mia filh m edw sth gallia touw kwdikous k anarwtiomoun an egw tha synexisw n eimai syndedemenh	oxi dn to xrhsimopoiw
281	giati kale afou stous eixa dwsei tous kwdikous	dn exw pou dn exw kalo internet
285	aa kala aderfoulh m entaksei ahaaaaa kalo	thes na sto parw 
289	alla giati leei mono gia epixeirhseis ?	gt thelei timologio
292	na se parw thl ?	nai
294	darty boulanger fnac carrefour leclerc the video chat ended .	antonispar gmail .com
301	ok thanks sou esteila ena pdf pou exei mesa protaseis gia othones tha se parw meta na mou peis kai gia to kinhto na se parw se ?	efyga ap to spiti
308	ela eisai available ?	nai
311	se kana tetarto dn ginetai ?	prepei na paw na parw katipramata
313	you missed a call from christina . you missed a call from christina .	ela xristina pare me apogeuma pros vrady tha eimai spiti
316	elaaa eisai spiti telika h oxi ?	ela spiti eimai
320	ela pare me opote thea you missed a video chat with christina . dell wireless keyboard and mouse km french azerty black https www .dell .com fr fr shop clavier et souris sans fil dell km fran ais azerty noir apd adfx accessoires pour ordinateurs https www .dell .com fr fr shop clavier et souris sans fil multip riph rique dell km w fran ais azerty apd aiwr accessoires pour ordinateurs https www .dell .com fr fr shop clavier et souris sans fil dell premier km fran ais azerty apd afqg accessoires pour ordinateurs	the video chat ended .
328	ela aderfoulhhh ti kaneis ? loipon opws tha emathes erxomai thn kyriakh gia mia vdomada sto ellada	elaaa xristina
335	gia sena einai h zwh na s pw epeidh edw akoma dn exei anoiksei to apple store k hmoun etoimh ksana na paw na dwsw gia to pro paizei na vroume kana aksiopisto metaxeirismeno pro ekei ?	nai tha vroume
340	aksiopisto omws p	e nai
342	 pro gb tha to protimousa alliws tha rwthsw ton chante mhpws m poulaei akoma to diko tou p	ginete k auto
349	nai re alla den tha exw eggyhsh sth gallia dld g ayto skeftomoun na to parw apo gallia ap to apple store gia na exw eggyhsh edw an ginei kati	poly dyskola na ginei kati sta iphone alla ntaxei nai einai risko
353	gi ayto an parw kati apo ellada mono metaxeirismeno apo empisto xeri alliws an einai gia kainourio tha to parw apo dw	mporeis
363	poios einai o takis k h filiw ?	h koumitzh
365	kala ti shmasia exei	kouimtzh
367	re to ari to pro ta exei edw sto metaxy pisteua oti mporw na glitwsw to fpa me thn komision alla telika oxi loipon aderfoulh an bohthhseis tha se kerasw poto h tha s parw kana tsert h pro h pro xryso ! kata protimhsh th mesaia xwritikothta	 pro gb kainourio me timologio
376	nooo rili ?	ye
379	kai ti eggyhsh ?	 xronia apo thn antiproswpeia
381	axa endiaferon kai pro ?	 
386	axa	alla 
389	oxi den thelw	 
393	mia xara k auto ekei tha kinhthoume h pro h pro 	e to 
397	e einai e pio akrivo ena zeygari papoutsia	nai alla tha to krathseis posa xronia
403	kalo ayto ! !	kalo
405	alla edw dn kseroume apo poion to agorazoume ti xrwma ?	graphite
410	xryso thelw p	exei paraggelies thn ebdomada
413	mhpws einai liga pali ? to exw ena agxos an k ok twra n m peis exw k plerwnw gb mhna sto cloud	egw exw to kinhto xrono gb
427	ontws nai ara tha ta ftasw ta pali ok dld an paw gia kainourio apo ellada etsi opws les prepei na to paraggeiloume apo internet se poses meres ftanei omws ? to thema einai oti tha katsw mia vdomada mono k mesolavei pasxa	 meres leei
434	ergasimes	mporw na to paraggeilw k twra
437	katse katse miso p ena xiliariko einai ayto den paizei kanena xryso ?	 .
441	hahaha	gt xryso
445	den kserw to eixa dei k m arese katse na mpw na ta dw	sto youtube des ta
449	edw pro gb kainourio apo app store exei ta kai to ashmi einai wraio k to mple xryso thelw etsi k alliws tha exei thiki den tha fainetai ara ti diafora einai ? oriste to xryso einai pio akrivo	 
457	to graphite dn kserw isws mple h ashmi dld to xryso den to vriskeis se e ? loipon paw sto farmakeio ligo	yparxei
465	xm katalava	pou fainete empisto
467	o koumitzis ? oxi theloume empisto katasthma	poios kouimtzhs
470	ti m leges prin takh kouimtzi ? gia kinhta ?	gia timologio
476	aaaaaaaaaaa	to afm
478	poios einai o takis	daltshs
480	aa o theios mas ?	nai
482	den ton kserw gia oute fatsika ok egw exw katalavei oti milas gia magazia sto xwrio p k o xantes tha mporouse n m dwsei to afm tou aytos to diko tou etsi to xe prei apo kapou loipon tha ton rwthsw ti eixe kanei pote mporeis na milisoume ?	dn einai kati h diadikasia
